Longitude,Latitude,Co2,Radiation,Precipitation,Temperature,bdod,cec,cfvo,clay,nitrogen,phh2o,sand,silt,soc,Yield
-108.75,26.25,398.3873036,224.5378788,530.0727317,25.40984876,14.64820139,21.0712303,8.452205397,25.16700203,10.32267219,7.831208047,53.42698591,21.39905313,7.988464333,0.57851013
-108.25,25.75,392.6215773,225.0075758,582.1454606,25.48409109,14.54486561,20.05473969,12.39328955,27.69309394,12.88274901,7.336789899,47.40818385,24.87502755,10.10302685,0.433643789
-108.25,26.25,398.3873036,225.0075758,785.127286,24.22954559,13.38923196,20.98533318,20.66008089,19.56167902,30.75228787,6.7,54.50290365,25.88553608,19.25821585,1.588202355
-107.75,25.25,401.4354918,228.2727273,793.090898,25.3719709,14.12876767,17.57947225,22.6906144,28.47009988,20.28056394,6.8,46.549789,24.90996409,18.59055845,0.842191777
-107.75,25.75,401.4354918,225.0075758,916.5272994,24.04924266,14.51980411,24.96998792,16.80407947,22.84961889,14.16870681,6.914438082,53.11967786,24.0065234,13.32136435,1.263741895
-107.75,26.25,397.9635418,225.0075758,861.2545388,21.48257585,13.50345305,20.10979626,19.37445555,22.27805628,33.7006108,6.469441693,53.64875801,24.03913597,23.98733998,1.746100114
-103.25,33.75,392.4515464,179.8863636,427.4090965,15.7090913,15.44698507,9.844927801,3.616857011,20.67605579,8.588718702,7.569290717,68.70088987,10.56427663,7.37501367,0.595331274
-103.25,34.25,392.7847609,179.8863636,427.0272772,15.39242496,15.60443118,12.50344784,1.61475382,24.71093575,11.58685652,7.607254799,54.76585235,20.52828928,12.18160862,1.221887091
-103.25,34.75,392.7847609,174.1742424,444.2182007,15.14242427,15.80147639,15.54928166,3.0076065,32.36004703,9.198111291,7.70271084,37.29066087,30.29601486,10.90963996,0.815327727
-103.25,35.25,392.7847609,174.1742424,413.9000105,15.8666665,15.77435678,12.8132247,2.101575264,24.00634892,8.678575436,7.674635392,51.93719921,24.0312528,7.178742089,0.549346351
-103.25,41.25,394.96711,142.1212121,430.6727295,9.738636364,14.19121618,16.75173918,3.299180923,19.91208799,13.38379915,7.587353454,45.49757176,34.63937308,10.94136972,0.621055311
-103.25,41.75,394.96711,136.8939394,405.2272811,9.909848704,14.61740054,18.56035074,1.772600424,20.969107,12.85551881,7.863026739,39.84071171,39.18609715,12.67438108,0.935886049
-103.25,44.25,393.7207464,123.4318182,414.8727278,9.194697467,15.2634979,25.15300925,1.466737219,37.61335777,19.82262507,7.35470166,15.32384397,47.02283174,18.25859107,1.644363827
-103.25,48.25,394.1885118,112.2954545,397.1000117,5.662121137,14.67551355,22.51354064,3.654095116,35.33635691,17.8366195,7.505042724,29.21646882,35.41925429,25.22350743,1.538351482
-103.25,48.75,394.1885118,110.1136364,402.5636319,5.057575919,14.45938967,27.53017668,4.389364854,40.46146299,21.47850928,7.412107417,18.58596973,40.96198102,26.56014133,1.486277057
-102.75,32.75,392.4515464,186.4469697,421.9363708,18.0681824,15.85798827,10.82766825,5.686882113,15.26859783,7.319339357,7.808174103,70.95020846,13.80647632,7.575821656,0.564714096
-102.75,33.25,392.4515464,186.4469697,449.4272877,16.74393972,15.74801862,9.353429764,3.83759814,16.58142673,6.991371258,7.569290717,71.51383848,11.74586316,8.901716316,0.583596999
-102.75,33.75,392.4515464,179.8863636,443.6909124,16.17878804,15.60553709,9.965562384,0.954369663,18.08747409,8.022915803,7.580866984,69.21023693,12.63252792,9.513926413,0.567068872
-102.75,34.25,392.7847609,179.8863636,454.3272844,15.69924245,15.94858085,12.18420258,1.167768254,20.75444743,9.362981951,7.644077085,56.82323796,22.37966179,10.48121738,1.01677614
-102.75,34.75,392.7847609,174.1742424,464.0909174,15.28636389,15.67726717,17.00578455,2.306228958,31.62541321,8.918719261,7.65470166,34.75460996,33.64783371,11.54388708,0.86508879
-102.75,35.25,392.7847609,174.1742424,445.0091053,15.38939447,15.3193328,16.40015588,6.684254485,36.42052499,12.83794707,7.667570698,31.32848463,32.23218627,13.0941134,0.642187981
-102.75,36.25,393.13039,168.5681818,399.9545538,13.94772767,15.38479027,16.29013963,1.10492101,29.37421795,10.67501912,7.598929721,34.53556679,36.10315566,19.8875007,1.411676836
-102.75,36.75,393.13039,164.1818182,407.4181921,13.281061,14.76054563,18.12624849,1.509736878,32.92046737,10.9413392,7.775403721,27.17398904,39.89052764,12.39337899,0.718228884
-102.75,41.25,394.96711,142.1212121,461.0000111,10.55454578,14.37551768,18.17792342,0.969590741,21.40927496,12.8692056,7.073565113,39.66473614,38.93316167,12.50982903,0.741429631
-102.75,41.75,394.96711,136.8939394,430.5636458,9.828030442,14.31738207,15.19943393,0.377392458,14.78084941,13.31048021,7.304242008,63.90880805,21.29099104,12.19884471,0.809370373
-102.75,42.25,393.6958009,136.8939394,443.5272772,9.231060837,14.58913062,18.08453653,0.605476123,20.05698481,14.05140766,7.635211659,48.75577822,31.19358122,15.29333414,1.133616932
-102.75,44.25,393.7207464,123.4318182,415.1909152,9.637121836,15.3609146,32.31804872,0.361959421,44.0642137,13.47302636,7.608823843,14.57350581,41.38441452,14.089298,1.057720444
-102.75,47.25,393.7000936,115.1060606,410.6636436,6.355303244,14.49065141,17.18073303,1.456359195,26.92831008,17.91672406,7.049270784,38.36834808,34.70423183,22.94829598,1.534275109
-102.75,47.75,393.7000936,112.2954545,410.8545449,5.790909478,14.40110186,19.48458564,5.077333059,28.55552205,20.34472703,7.102592251,34.04751587,37.41875947,34.55458032,1.487278145
-102.75,48.25,394.1885118,112.2954545,414.2818326,5.248484987,14.27416351,20.44646887,3.979895292,30.87646656,21.17580475,7.317570681,37.53629378,31.61318554,29.27041326,1.785796827
-102.25,32.75,392.4515464,187.1287879,438.8999994,18.13181814,15.96159613,12.38003456,4.185334035,17.44937323,7.262480556,7.724294329,69.49337315,13.06054552,8.445499982,0.575689394
